User_Name,Full_Name,Cover_Pic,Profile_Image,Verified,Birthday,Location,Website,BIO,Followers,Following,Join_date,,
@UnofficialShah,Unofficial_ShahRukhKhan ,https://pbs.twimg.com/profile_images/1457044642088644613/DpiXvgoi_200x200.jpg,https://twitter.com/@unofficialshah/photo,FALSE,,,https://t.co/wYSMo4AQYm,"Here Only For 
@iamsrk
Follow Me To Follow Back 
Love Pyaar Dosti",225,356,Joined June 2020,,
,,,,,,,,,,,,,
@shahrukh_iamsrk,SHAHRUKH KHAN ,https://pbs.twimg.com/profile_images/479274957692628992/DFSVusPC_200x200.jpeg,https://twitter.com/@shahrukh_iamsrk/photo,FALSE,,"mumbai,india",http://t.co/rgTV59mOH7,,12,60,Joined June 2014,,
,,,,,,,,,,,,,
@SHAHRUKHKHAN019,SHAHRUKH KHAN ,https://pbs.twimg.com/profile_images/879693242861748225/NKVuK_xH_200x200.jpg,https://twitter.com/@shahrukhkhan019/photo,FALSE,,,,,12,220,Joined June 2017,,
,,,,,,,,,,,,,
@iamsrk1226,Shahrukh Khan 🇮🇳 ,https://pbs.twimg.com/profile_banners/902936208854048768/1504112101/600x200,https://twitter.com/@iamsrk1226/photo,FALSE,"Born December 26, 1998","Jamnagar, India",,"Fan club which always support 
@iamsrk",2,42,Joined August 2017,,
,,,,,,,,,,,,,
@iamsrk21165,Shahrukh Khan ,https://pbs.twimg.com/profile_images/532478566739353600/n_v3DErx_200x200.jpeg,https://twitter.com/@iamsrk21165/photo,FALSE,,,,,2,34,Joined November 2014,,
,,,,,,,,,,,,,
@_iamsrk_fc,Shahrukh Khan FC ,https://pbs.twimg.com/profile_banners/794442166210678784/1483507922/600x200,https://twitter.com/@_iamsrk_fc/photo,FALSE,,"Mumbai, India",,This is a handle for all the sharukh khan fans out there!!,13,73,Joined November 2016,,
,,,,,,,,,,,,,
@iamsrk_sk,Shahrukh Khan ,https://pbs.twimg.com/profile_images/859631001198264321/1T4okAmT_200x200.jpg,https://twitter.com/@iamsrk_sk/photo,FALSE,"Born November 2, 1965","Bandra West, Mumbai",https://t.co/W6GbrPv6er,Bollywood and Celebrities,3,99,Joined May 2017,,
,,,,,,,,,,,,,
@B_ShahrukhKhan,Bolly_ShahrukhKhan ,https://pbs.twimg.com/profile_banners/793509444940365824/1478022834/600x200,https://twitter.com/@b_shahrukhkhan/photo,FALSE,,,,,11,2,Joined November 2016,,
,,,,,,,,,,,,,
@khan_iamsrk,SHAHRUKH KHAN ,https://pbs.twimg.com/profile_banners/1237234208/1362274464/600x200,https://twitter.com/@khan_iamsrk/photo,FALSE,,,,,6,3,Joined March 2013,,
,,,,,,,,,,,,,
@shahrukhkhanPic,shahrukh khan Pics ,https://pbs.twimg.com/profile_banners/795636841710026753/1496321860/600x200,https://twitter.com/@shahrukhkhanpic/photo,FALSE,,Only Srk Matters,,Follow Us To Get Live Photos Of Bollywood #Superstar #Shahrukhkhan,15,23,Joined November 2016,,
,,,,,,,,,,,,,
@iamsrk32,shahrukh khan ,https://pbs.twimg.com/profile_banners/1036955919878213632/1536065561/600x200,https://twitter.com/@iamsrk32/photo,FALSE,,"Maharashtra, India",,Main akela he chala tha janib_e_ manzil magar log saath aate gaye aur karwaan banta gaya.,18,56,Joined September 2018,,
,,,,,,,,,,,,,
@iamsrk867,Shahrukh Khan ,https://pbs.twimg.com/profile_banners/761786236050759680/1470460506/600x200,https://twitter.com/@iamsrk867/photo,FALSE,,"Punjab, Pakistan",,Entertainment Actors & Actresses Movies,1,6,Joined August 2016,,
,,,,,,,,,,,,,
@iamsrk1000,Shahrukh Khan ,https://pbs.twimg.com/profile_banners/764716086168354816/1471157751/600x200,https://twitter.com/@iamsrk1000/photo,FALSE,,,,,1,0,Joined August 2016,,
,,,,,,,,,,,,,
@shahrukhkhan539,Shahrukh Khan ,https://pbs.twimg.com/profile_images/445574925/shahrukhblur_200x200.png,https://twitter.com/@shahrukhkhan539/photo,FALSE,,,,,24,20,Joined October 2009,,
,,,,,,,,,,,,,
@shahrukhkhan125,shahrukh khan ,https://pbs.twimg.com/profile_images/2582248935/shahrukh-khan_200x200.jpg,https://twitter.com/@shahrukhkhan125/photo,FALSE,,,,,18,8,Joined September 2012,,
,,,,,,,,,,,,,
@ShahrukhkhanFa6,Shahrukh khan Fans ,https://pbs.twimg.com/profile_banners/2221712323/1386503407/600x200,https://twitter.com/@shahrukhkhanfa6/photo,FALSE,,,,,29,88,Joined November 2013,,
,,,,,,,,,,,,,
@iamsrk9660,shahrukh khan ,https://pbs.twimg.com/profile_images/501322077937209345/havM5Qh3_200x200.jpeg,https://twitter.com/@iamsrk9660/photo,FALSE,,,,,0,2,Joined August 2014,,
,,,,,,,,,,,,,
@shahrukhkhanFC_,shahrukh khan ,https://pbs.twimg.com/profile_images/2403571015/wg2ve7izwfhf4fec5a35_200x200.jpeg,https://twitter.com/@shahrukhkhanfc_/photo,FALSE,,,,"I am huge fan of SRK... * his movies ......**** performance **** and his team KKR ...
@iamsrk
 ....*******",45,82,Joined January 2012,,
,,,,,,,,,,,,,
@shahrukhkhan010,Shahrukh KhaN ,https://pbs.twimg.com/profile_banners/702438045690281984/1456320603/600x200,https://twitter.com/@shahrukhkhan010/photo,FALSE,,,,,15,21,Joined February 2016,,
,,,,,,,,,,,,,
@shahrukhkhanDO1,shahrukh khan ,https://pbs.twimg.com/profile_images/2285640695/don_2_200x200.jpg,https://twitter.com/@shahrukhkhando1/photo,FALSE,,,,,21,14,Joined June 2012,,
,,,,,,,,,,,,,
@shahrukhkhan980,shahrukh khan ,https://pbs.twimg.com/profile_images/716332393968181248/S7frizbe_200x200.jpg,https://twitter.com/@shahrukhkhan980/photo,FALSE,,,,,14,11,Joined April 2016,,
,,,,,,,,,,,,,
@iamsrk129,Shahrukh Khan ,https://pbs.twimg.com/profile_banners/916529501919571968/1507353064/600x200,https://twitter.com/@iamsrk129/photo,FALSE,,,,,0,52,Joined October 2017,,
,,,,,,,,,,,,,
@iamsrk007,shahrukh khan ,https://pbs.twimg.com/profile_images/699482777/keep_it_onn_200x200.jpg,https://twitter.com/@iamsrk007/photo,FALSE,,,,,108,1,Joined February 2010,,
,,,,,,,,,,,,,
@shahrukhkhan786,Shahrukh Khan ,https://pbs.twimg.com/profile_images/584452778/srk_200x200.jpg,https://twitter.com/@shahrukhkhan786/photo,FALSE,,,,,90,0,Joined December 2009,,
,,,,,,,,,,,,,
@iamsrk_fn,Shahrukh Khan ,https://pbs.twimg.com/profile_images/632049333244825600/KepPG8ti_200x200.jpg,https://twitter.com/@iamsrk_fn/photo,FALSE,,,,,36,199,Joined July 2015,,
,,,,,,,,,,,,,
@ShahRukhUnique,SHAHRUKH KHAN UNIQUE ,https://pbs.twimg.com/profile_banners/1065754669/1438781953/600x200,https://twitter.com/@shahrukhunique/photo,FALSE,,Indonesia,http://t.co/nsjgpSUxC1,"Is't all about Shahrukh Khan for fans all countries including Indonesia..

Ini tentang  Shahrukh Khan untuk fans diseluruh negara termasuk Indonesia",182,32,Joined January 2013,,
,,,,,,,,,,,,,
@Shahruk61401486,Shahrukh KhanS ,https://pbs.twimg.com/profile_images/1477533481043324929/civ4J4rv_200x200.png,https://twitter.com/@shahruk61401486/photo,FALSE,,,,,0,6,Joined January 2022,,
,,,,,,,,,,,,,
@salma1035543006,susan shahrukh khan ,https://pbs.twimg.com/profile_banners/1275900230/1372285114/600x200,https://twitter.com/@salma1035543006/photo,FALSE,,saudi,http://t.co/fowtrstuZ9,I LOVE SHAH RUKH VERY MUCH FAMELA,292,298,Joined March 2013,,
,,,,,,,,,,,,,
@Lover_KingKhan,Shahrukh Khan Lover ,https://pbs.twimg.com/profile_banners/397941385/1362836839/600x200,https://twitter.com/@lover_kingkhan/photo,FALSE,,SRK,,"Shahrukh Khan Lover Indonesia we love king khan always support 
@iamsrk",223,317,Joined October 2011,,
,,,,,,,,,,,,,
@DON_DON2_srk,_DON_iamsrk_ ,https://abs.twimg.com/sticky/default_profile_images/default_profile_200x200.png,https://twitter.com/@don_don2_srk/photo,FALSE,,,,,169,18,Joined August 2010,,
,,,,,,,,,,,,,
@Shahruk87336363,Shahrukh Khan ,https://pbs.twimg.com/profile_images/1578656771094126592/-rCp1c6Y_200x200.png,https://twitter.com/@shahruk87336363/photo,FALSE,,,,,2,19,Joined October 2022,,
,,,,,,,,,,,,,
@JuniorShahRuk16,Junior ShahRukh Khan ,https://pbs.twimg.com/profile_images/1078893968786681861/Dqx-TzFp_200x200.jpg,https://twitter.com/@juniorshahruk16/photo,FALSE,,,,ShahRukh Khan,5,294,Joined December 2018,,
,,,,,,,,,,,,,
@SHHHHA3,SHáHŔûĶH ĶHAŃ ,https://pbs.twimg.com/profile_images/804030131048214528/n4YjEAUd_200x200.jpg,https://twitter.com/@shhhha3/photo,FALSE,,,,,2,24,Joined November 2016,,
,,,,,,,,,,,,,
@ShahrukhKhanTwt,Shahrukh Khan ,https://pbs.twimg.com/profile_banners/1268172235/1363300472/600x200,https://twitter.com/@shahrukhkhantwt/photo,FALSE,,,,"everybody ! Pls make me as follower that was very nice !! And 
@Aishwarya
 Raiii she's beautifull !!!",6,1,Joined March 2013,,
,,,,,,,,,,,,,
@shahruk76747531,shahrukh khan ,https://pbs.twimg.com/profile_banners/719730003/1382045198/600x200,https://twitter.com/@shahruk76747531/photo,FALSE,,,,,21,44,Joined October 2013,,
,,,,,,,,,,,,,
@srkfan1210,Shahrukh Khan ,https://pbs.twimg.com/profile_banners/736841069715939328/1464521499/600x200,https://twitter.com/@srkfan1210/photo,FALSE,,,https://t.co/XilzShVH2Y,,5,46,Joined May 2016,,
